language group,variety name,new_name,glottocode,# of speakers,mBERT seen,UDP,POS,NER,SDQA,RCMC,NLI,TC,SC,DI,MT
sabellic,umbrian,italian/umbrian,umbr1253,antiquated,-,UD_Umbrian-IKUVINA,UD_Umbrian-IKUVINA,-,-,-,-,-,-,-,-
sardo-corsican,corsican,italian/corsican,cors1241,150000,-,-,-,co,-,-,-,-,-,-,-
sardo-corsican,sardinian,italian/sardinian,sard1257,1000000,-,-,-,sc,-,-,srd_Latn,srd_Latn,-,-,-
serbian-croatian-bosnian,bosnian standard,croatian/bosnian,bosn1245,2500000,tick,-,-,bs,-,-,-,-,-,-,-
serbian-croatian-bosnian,croatian standard,croatian/croatian,croa1245,7000000,tick,-,-,hr,-,-,-,-,-,-,-
serbian-croatian-bosnian,serbian standard,croatian/serbian,serb1264,12000000,tick,-,-,sr,-,-,-,-,-,-,-
serbian-croatian-bosnian,serbian-croatian-bosnian,croatian/serbo-croatian,sout1528,19000000,tick,-,-,sh,-,-,-,-,-,-,-
sinitic,cantonese,chinese/cantonese,cant1236,60000000,-,-,-,zh-yue,-,-,yue_Hant,yue_Hant,-,-,-
sinitic,classical chinese,chinese/classical,lite1248,historical,-,UD_Classical_Chinese-Kyoto,UD_Classical_Chinese-Kyoto,zh-classical,-,-,-,-,-,-,-
sinitic,"classical-middle-modern sinitic (a:hongkong, o:traditional)",chinese/traditional/hongkong,clas1255,written only,-,UD_Chinese-HK,UD_Chinese-HK,-,-,-,-,-,-,-,-
sinitic,classical-middle-modern sinitic (o:simplified),chinese/simplified,clas1255,written only,tick,UD_Chinese-GSDSimp,UD_Chinese-GSDSimp,-,-,zho_Hans,zho_Hans,zho_Hans,-,-,-
sinitic,classical-middle-modern sinitic (o:traditional),chinese/traditional,clas1255,written only,tick,-,-,-,-,zho_Hant,zho_Hant,zho_Hant,-,-,-
sinitic,hakka chinese,chinese/hakka,hakk1236,47800000,-,-,-,hak,-,-,-,-,-,-,-
sinitic,mandarin chinese,chinese/chinese,mand1415,1350000000,-,-,-,zh,-,-,-,-,-,-,-
sinitic,"mandarin chinese (a:mainland, o:simplified)",chinese/mandarin/mainland/simplified,mand1415,1000000000,-,-,-,-,-,-,-,-,-,mandarin_simplified:M,-
sinitic,"mandarin chinese (a:mainland, o:traditional, i:synthetic)",chinese/mandarin/mainland/traditional,mand1415,1000000000,-,-,-,-,-,-,-,-,-,mandarin_traditional:M,-
sinitic,"mandarin chinese (a:taiwan, o:simplified)",chinese/mandarin/taiwanese/simplified,mand1415,19600000,-,-,-,-,-,-,-,-,-,mandarin_simplified:T,-
sinitic,"mandarin chinese (a:taiwan, o:traditional, i:synthetic)",chinese/mandarin/taiwanese/traditional,mand1415,19600000,-,-,-,-,-,-,-,-,-,mandarin_traditional:T,-
sinitic,min nan chinese,chinese/min nan,minn1241,48000000,-,-,-,zh-min-nan,-,-,-,-,-,-,-
sinitic,wu chinese,chinese/wu,wuch1236,80000000,-,-,-,wuu,-,-,-,-,-,-,-
sorbian,lower sorbian,sorbian/lower,lowe1385,6900,-,-,-,dsb,-,-,-,-,-,-,-
sorbian,upper sorbian,sorbian/upper,uppe1395,13000,-,-,-,hsb,-,-,-,-,-,-,-
sotho-tswana (s.30),northern sotho,sotho/northern,nort3233,13800000,-,-,-,nso,-,nso_Latn,nso_Latn,nso_Latn,-,-,-
sotho-tswana (s.30),southern sotho,sotho/southern,sout2807,5600000,-,-,-,st,-,sot_Latn,sot_Latn,sot_Latn,-,-,-
southwestern shifted romance,brazilian portuguese,portuguese/brazilian,braz1246,203062512,-,UD_Portuguese-GSD,UD_Portuguese-GSD,-,-,-,-,-,-,portuguese:PT-BR,-
southwestern shifted romance,extremaduran,spanish/extremaduran,extr1243,200000,-,-,-,ext,-,-,-,-,-,-,-
southwestern shifted romance,galician,spanish/galician,gali1258,2400000,tick,-,-,gl,-,-,glg_Latn,glg_Latn,-,-,-
southwestern shifted romance,latin american spanish,spanish/argentinian,amer1254,41700000,-,-,-,-,-,-,-,-,-,spanish:ES-AR,-
southwestern shifted romance,mirandese,spanish/mirandese,mira1251,15000,-,-,-,mwl,-,-,-,-,-,-,-
southwestern shifted romance,occitan,Occitan,occi1239,200000,tick,-,ROci,oc,-,-,oci_Latn,oci_Latn,-,-,Occitan
southwestern shifted romance,portuguese (a:european),portuguese/european,port1283,40000000,-,UD_Portuguese-PUD,UD_Portuguese-PUD,-,-,-,por_Latn,por_Latn,-,portuguese:PT-PT,-
southwestern shifted romance,portuguese (i:mix),portuguese/mix,port1283,-,-,UD_Portuguese-Bosque,UD_Portuguese-Bosque,-,-,-,-,-,-,-,-
southwestern shifted romance,portuguese (m:written),portuguese/written,port1283,written,tick,UD_Portuguese-CINTIL,UD_Portuguese-CINTIL,-,-,-,-,-,-,portuguese:PT,-
southwestern shifted romance,spanish,spanish/spanish,stan1288,466000000,tick,-,-,es,-,-,spa_Latn,spa_Latn,-,spanish:ES,-
southwestern shifted romance,spanish (a:europe),spanish/peninsular,stan1288,40000000,-,-,-,-,-,-,-,-,-,spanish:ES-ES,-
swahili,swahili,swahili/swahili,swah1253,73000000,tick,-,-,-,-,-,-,-,-,-,-
swahili,swahili (a:kenya),swahili/kenyan,swah1253,1000000,-,-,-,-,swahili--kenya,-,-,-,-,-,-
swahili,swahili (a:tanzania),swahili/tanzanian,swah1253,15000000,-,-,-,-,swahili--tanzania,-,-,-,-,-,-
tigrinya,tigrinya (a:eritrea),Eritrean,tigr1271,3500000,-,-,-,-,-,-,-,-,-,-,Eritrean
tigrinya,tigrinya (a:ethiopia),Ethiopian,tigr1271,5000000,-,-,-,-,-,-,-,-,-,-,Ethiopian
tupi-guarani subgroup i.a,mbyá guaraní (a:brazil),guarani/brazil,mbya1239,51000,-,UD_Mbya_Guarani-Dooley,UD_Mbya_Guarani-Dooley,-,-,-,-,-,-,-,-
tupi-guarani subgroup i.a,mbyá guaraní (a:paraguay),guarani/paraguay,mbya1239,5250000,-,UD_Mbya_Guarani-Thomas,UD_Mbya_Guarani-Thomas,-,-,-,-,-,-,-,-
tupi-guarani subgroup i.a,old guarani,guarani/guarani,oldp1258,6500000,-,UD_Guarani-OldTuDeT,UD_Guarani-OldTuDeT,-,-,-,-,-,-,-,-
west low german,west low german,german/low german,west2357,5000000,tick,UD_Low_Saxon-LSDC,UD_Low_Saxon-LSDC,nds,-,-,-,-,-,-,-
yoruba,yoruba (a:central nigeria),Central,yoru1245,44000000,tick,-,-,-,-,-,-,-,-,-,Central
